Их наяд-н хажууд river villa хотхонд 2 өрөө орон сууц	2 өрөө	202000000.0	69.67 м²	2021	Байхгүй	Тагтгүй	Хан-Уул	17	13
3 өрөө байр 69.79м2	3 өрөө	220000000.0	69.73 м²	2021	Байхгүй	1 тагттай	Хан-Уул	14	6
Хороололын emart	2 өрөө	336300000.0	59.0 м²	2018	Байхгүй	1 тагттай	Баянгол	12	2
Натурын дунд зам дагуу гал тогоо тусдаа 2 өрөө орон сууц	2 өрөө	95000000.0	40.0 м²	1990	Байхгүй	2 тагттай	Баянзүрх	9	5
Бзд, цэцэрлэгт хүрээлэнгийн хойно санто смарт апартмент хотхонд 81.8м2 3 өрөө	3 өрөө	368550000.0	81.0 м²	2020	Байхгүй	2 тагттай	Баянзүрх	16	8
Бзд, 26-р хороо элизабет хотхонд 2 өрөө	2 өрөө	125000000.0	60.16 м²	2019	Байгаа	1 тагттай	Баянзүрх	4	16
Худ,хүннү2222 гал тогооны тавилгатай 2 өрөө	2 өрөө	115000000.0	55.0 м²	2021	Байхгүй	1 тагттай	Хан-Уул	23	8
Гэрлүг виста хотхонд 2 өрөө орон сууц 59.92m2	2 өрөө	345000000.0	59.92 м²	2023	Байхгүй	1 тагттай	Хан-Уул	22	10
Циркийн баруун талд номун хотхонд 3 өрөө	3 өрөө	193000000.0	85.0 м²	2010	Байхгүй	2 тагттай	Сүхбаатар	13	8
Өгөөмөр захын зүүн талд 2 өрөө	2 өрөө	250000000.0	53.63 м²	2008	Байхгүй	2 тагттай	Баянзүрх	4	4
Багшийн дээдийн voli appartment 1 өрөө орон сууц	1 өрөө	120000000.0	42.0 м²	2014	Байхгүй	Тагтгүй	Сүхбаатар	12	3
Brilliant apartment 2 uruu	2 өрөө	95000000.0	47.0 м²	2023	Байгаа	2 тагттай	Баянзүрх	16	14
Бзд, цэцэрлэгт хүрээлэнгийн хойно, нэйшил 3 өрөө	3 өрөө	169000000.0	82.0 м²	2021	Байхгүй	1 тагттай	Баянзүрх	15	12
Мандах наран 69.72м2 3өрөө байр. хөсүт	3 өрөө	216132000.0	69.72 м²	2022	Байхгүй	1 тагттай	Баянзүрх	12	3
Шинэ амгалан хороолол бзд 8-р хороо	1 өрөө	120000000.0	30.93 м²	2022	Байхгүй	1 тагттай	Баянзүрх	12	6
Мандала гарденд 3 өрөө байр	3 өрөө	360000000.0	93.0 м²	2023	Байхгүй	1 тагттай	Хан-Уул	14	7
Худ, 17-р хороо кинг таур хотхонд 4 өрөө байр	4 өрөө	327500000.0	131.0 м²	2007	Байхгүй	Тагтгүй	Хан-Уул	16	7
Нисхэд 2 өрөө байр	2 өрөө	160000000.0	52.84 м²	2023	Байхгүй	1 тагттай	Хан-Уул	12	2
Цэцэрлэгт хүрээлэнгийн хажууд санрайз таунд 3 өрөө байр 90m2	3 өрөө	185000000.0	90.0 м²	2014	Байгаа	1 тагттай	Баянзүрх	15	13
Оргил шилтгээн хотхонд 5 өрөө байр	5+ өрөө	1500000000.0	136.0 м²	2013	Байгаа	2 тагттай	Хан-Уул	12	6
1 өрөө байр 38.4м2	1 өрөө	120000000.0	38.4 м²	2013	Байхгүй	1 тагттай	Баянгол	10	8
